Lorg/apache/batik/bridge/SVGSVGElementBridge;.createGraphicsNode(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)Lorg/apache/batik/gvt/GraphicsNode;#0#0#1#0#vtInv,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGSVGElementBridge.java;,VariableName,,,,,,,,ClassName:AffineTransform;,ClassName:SVGSVGElementBridge;,VariableName:actualWidth;VariableName:viewingTransform;VariableName:actualHeight;MethodName:createInverse;,,,,MethodName:createGraphicsNode;,,vtInv,inv,inverse
Ljava/net/URI;.toURL()Ljava/net/URL;|Ljava/net/MalformedURLException;,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svgrasterizer/src/main/java/org/apache/batik/apps/rasterizer/SVGConverterFileSource.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/JSVGViewerFrame.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-slideshow/src/main/java/org/apache/batik/apps/slideshow/Main.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/Main.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svgrasterizer/src/main/java/org/apache/batik/apps/rasterizer/SVGConverter.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-transcoder/src/main/java/org/apache/batik/transcoder/wmf/tosvg/WMFTranscoder.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svggen/src/main/java/org/apache/batik/svggen/AbstractImageHandlerEncoder.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-transcoder/src/main/java/org/apache/batik/transcoder/print/PrintTranscoder.java;,MethodName,,,,,,,,ClassName:URL;,,VariableName:fileName;VariableName:input;VariableName:uri;VariableName:furl;FieldName:urlRoot;VariableName:userDir;VariableName:uri;VariableName:flURL;,MethodName:transcode;,ParameterName:in;,,,,toURL,url,uniform resource locator
Lorg/apache/batik/dom/events/EventSupport;.getUltimateOriginalEvent(Lorg/w3c/dom/events/Event;)Lorg/w3c/dom/events/Event;#0#origEvt,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-dom/src/main/java/org/apache/batik/dom/events/EventSupport.java;,VariableName,,,,,,,,ClassName:AbstractEvent;,ClassName:EventSupport;,MethodName:getOriginalEvent;VariableName:e;ClassName:AbstractEvent;,,,,MethodName:getUltimateOriginalEvent;,,origEvt,orig,original
Lorg/apache/batik/bridge/UpdateManager;.dispatchSVGLoadEvent()V|Ljava/lang/InterruptedException;#0#0#se,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/UpdateManager.java;,VariableName,,,,,,,,ClassName:ScriptingEnvironment;,ClassName:UpdateManager;,FieldName:secondaryScriptingEnvironments;VariableName:i;,MethodName:dispatchSVGLoadEvent;,ParameterName:se;,,MethodName:dispatchSVGLoadEvent;,,se,se,scripting environment
Lorg/apache/batik/bridge/SVGTextElementBridge;.getTextIntersection(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;Ljava/awt/geom/AffineTransform;Ljava/awt/geom/Rectangle2D;Z)Z#tnRect,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGTextElementBridge.java;,VariableName,,,,,,,,ClassName:Rectangle2D;,ClassName:SVGTextElementBridge;,MethodName:getBounds2D;VariableName:tnRect;VariableName:at;VariableName:tn;MethodName:getBounds;MethodName:createTransformedShape;,,,,MethodName:getTextIntersection;,,tnRect,rect,rectangle
Lorg/apache/batik/anim/MotionAnimation;.(Lorg/apache/batik/anim/timing/TimedElement;Lorg/apache/batik/anim/dom/AnimatableElement;I[F[FZZ[Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/ext/awt/geom/ExtendedGeneralPath;[FZZFS)V#1#unPt,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-anim/src/main/java/org/apache/batik/anim/MotionAnimation.java;,VariableName,,,,,,,,ClassName:AnimatableMotionPointValue;,ClassName:MotionAnimation;,ParameterName:animatableElement;MethodName:getUnderlyingValue;ClassName:AnimatableMotionPointValue;,MethodName:moveTo;,ParameterName:x;ParameterName:y;,,MethodName:MotionAnimation;,,unPt,pt,point
Lorg/apache/batik/parser/AbstractScanner;.(Ljava/io/Reader;)V|Lorg/apache/batik/parser/ParseException;#r#0#0,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-parser/src/main/java/org/apache/batik/parser/AbstractScanner.java;,ParameterName,,,,,,,Creates a new AbstractScanner object param r The reader to scan;,ClassName:Reader;,,FieldName:reader;,,,,MethodName:AbstractScanner;,,r,r,reader
Lorg/apache/batik/swing/svg/JSVGComponent;.setAnimationLimitingFPS(F)V,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-swing/src/main/java/org/apache/batik/swing/svg/JSVGComponent.java;C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/Main.java;,MethodName,,,,,,,Sets the animation limiting mode to a number of frames per second param fps the maximum number of frames per second fps gt;,ClassName:void;,ClassName:JSVGComponent;,,,,ParameterName:fps;,,,setAnimationLimitingFPS,fps,frames per second
Lorg/apache/batik/css/engine/CSSEngine;.findSelectorAttributes(Ljava/util/Set;Lorg/apache/batik/css/engine/StyleSheet;)V#0#0#0#sl,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-css/src/main/java/org/apache/batik/css/engine/CSSEngine.java;,VariableName,,,,,,,,ClassName:SelectorList;,ClassName:CSSEngine;,VariableName:style;MethodName:getSelectorList;VariableName:slen;VariableName:s;,,,,MethodName:findSelectorAttributes;,,sl,sl,selector list
Lorg/apache/batik/bridge/SVGFontFaceElementBridge;.createFontFace(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)Lorg/apache/batik/bridge/SVGFontFace;#overlinePosStr,C:/PHDONE/runtime-EclipseApplication/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGFontFaceElementBridge.java;,VariableName,,,,,,,overline position;,ClassName:String;,ClassName:SVGFontFaceElementBridge;,ClassName:String;FieldName:SVG_OVERLINE_POSITION_ATTRIBUTE;ParameterName:fontFaceElement;VariableName:overlinePos;VariableName:ascent;MethodName:valueOf;MethodName:getAttributeNS;,MethodName:convertSVGNumber;,ParameterName:s;,,MethodName:createFontFace;,,overlinePosStr,pos,position
