Lorg/apache/batik/bridge/SVGSVGElementBridge;.createGraphicsNode(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)Lorg/apache/batik/gvt/GraphicsNode;#0#0#1#0#vtInv,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGSVGElementBridge.java;,VariableName,vtInv,"float actualWidth = w;
            float actualHeight = h;
            try {
                AffineTransform vtInv = viewingTransform.createInverse();
                actualWidth = (float) (w*vtInv.getScaleX());
                actualHeight = (float) (h*vtInv.getScaleY());
            } catch (NoninvertibleTransformException ex) {}",inv,inverse
Ljava/net/URI;.toURL()Ljava/net/URL;|Ljava/net/MalformedURLException;,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svgrasterizer/src/main/java/org/apache/batik/apps/rasterizer/SVGConverterFileSource.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/JSVGViewerFrame.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-slideshow/src/main/java/org/apache/batik/apps/slideshow/Main.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/Main.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svgrasterizer/src/main/java/org/apache/batik/apps/rasterizer/SVGConverter.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-transcoder/src/main/java/org/apache/batik/transcoder/wmf/tosvg/WMFTranscoder.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svggen/src/main/java/org/apache/batik/svggen/AbstractImageHandlerEncoder.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-transcoder/src/main/java/org/apache/batik/transcoder/print/PrintTranscoder.java;,MethodName,toURL,"public String getURI(){
        try{
            String uri = file.toURI().toURL().toString();
            if (ref != null && !"""".equals(ref)){
                uri += '#' + ref;
            }",url,uniform resource locator
Lorg/apache/batik/dom/events/EventSupport;.getUltimateOriginalEvent(Lorg/w3c/dom/events/Event;)Lorg/w3c/dom/events/Event;#0#origEvt,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-dom/src/main/java/org/apache/batik/dom/events/EventSupport.java;,VariableName,origEvt,"    public static Event getUltimateOriginalEvent(Event evt) {
        AbstractEvent e = (AbstractEvent) evt;
        for (;;) {
            AbstractEvent origEvt = (AbstractEvent) e.getOriginalEvent();
            if (origEvt == null) {
                break;
            }",orig,original
Lorg/apache/batik/bridge/UpdateManager;.dispatchSVGLoadEvent()V|Ljava/lang/InterruptedException;#0#0#se,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/UpdateManager.java;,VariableName,se,"                continue;
            }
            resCtx.setUpdateManager(this);
            ScriptingEnvironment se = initializeScriptingEnvironment(resCtx);
            secondaryScriptingEnvironments[i] = se;
        }
        minRepaintTime = MIN_REPAINT_TIME;",se,scripting environment
Lorg/apache/batik/bridge/SVGTextElementBridge;.getTextIntersection(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;Ljava/awt/geom/AffineTransform;Ljava/awt/geom/Rectangle2D;Z)Z#tnRect,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGTextElementBridge.java;,VariableName,tnRect,"        Element  txtElem = txtBridge.e;

        AffineTransform at = tn.getGlobalTransform();
        at.preConcatenate(ati);

        Rectangle2D tnRect;
        tnRect = tn.getBounds();
        tnRect = at.createTransformedShape(tnRect).getBounds2D();
        if (!rect.intersects(tnRect)) return false;",rect,rectangle
Lorg/apache/batik/anim/MotionAnimation;.(Lorg/apache/batik/anim/timing/TimedElement;Lorg/apache/batik/anim/dom/AnimatableElement;I[F[FZZ[Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/anim/values/AnimatableValue;Lorg/apache/batik/ext/awt/geom/ExtendedGeneralPath;[FZZFS)V#1#unPt,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-anim/src/main/java/org/apache/batik/anim/MotionAnimation.java;,VariableName,unPt,"                    }
                } else {
                    if (to != null) {
                        AnimatableMotionPointValue unPt = (AnimatableMotionPointValue)
                            animatableElement.getUnderlyingValue();
                        AnimatableMotionPointValue toPt = (AnimatableMotionPointValue) to;
                        path.moveTo(unPt.getX(), unPt.getY());",pt,point
Lorg/apache/batik/parser/AbstractScanner;.(Ljava/io/Reader;)V|Lorg/apache/batik/parser/ParseException;#r#0#0,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-parser/src/main/java/org/apache/batik/parser/AbstractScanner.java;,ParameterName,r,"     * Creates a new AbstractScanner object.
     * @param r The reader to scan.
     */
    public AbstractScanner(Reader r) throws ParseException {
        try {
            reader = new StreamNormalizingReader(r);
            current = nextChar();",r,reader
Lorg/apache/batik/swing/svg/JSVGComponent;.setAnimationLimitingFPS(F)V,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-swing/src/main/java/org/apache/batik/swing/svg/JSVGComponent.java;C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-svgbrowser/src/main/java/org/apache/batik/apps/svgbrowser/Main.java;,MethodName,setAnimationLimitingFPS,"     * Sets the animation limiting mode to a number of frames per second.
     * @param fps the maximum number of frames per second (fps &gt; 0)
     */
    public void setAnimationLimitingFPS(float fps) {
        animationLimitingMode = 2;
        animationLimitingAmount = fps;
        if (bridgeContext != null) {",fps,frames per second
Lorg/apache/batik/css/engine/CSSEngine;.findSelectorAttributes(Ljava/util/Set;Lorg/apache/batik/css/engine/StyleSheet;)V#0#0#0#sl,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-css/src/main/java/org/apache/batik/css/engine/CSSEngine.java;,VariableName,sl,"            switch (r.getType()) {
            case StyleRule.TYPE:
                StyleRule style = (StyleRule)r;
                SelectorList sl = style.getSelectorList();
                int slen = sl.getLength();
                for (int j = 0; j < slen; j++) {
                    ExtendedSelector s = (ExtendedSelector)sl.item(j);",sl,selector list
Lorg/apache/batik/bridge/SVGFontFaceElementBridge;.createFontFace(Lorg/apache/batik/bridge/BridgeContext;Lorg/w3c/dom/Element;)Lorg/apache/batik/bridge/SVGFontFace;#overlinePosStr,C:/Users/research/Desktop/LLM-based AbbrExpan/GPT/context/testProject/batik-1.9/batik-bridge/src/main/java/org/apache/batik/bridge/SVGFontFaceElementBridge.java;,VariableName,overlinePosStr,"                new Object [] {SVG_FONT_FACE_SLOPE_DEFAULT_VALUE,
                               strikethroughThicknessStr});
        }

        // overline-position
        String overlinePosStr = fontFaceElement.getAttributeNS
            (null, SVG_OVERLINE_POSITION_ATTRIBUTE);
         if (overlinePosStr.length() == 0) {
            overlinePosStr = String.valueOf(ascent);",pos,position
